1,GB,SEA,16,36
1,WAS,HOU,6,17
1,TEN,KC,26,10
1,NE,MIA,20,33
1,OAK,NYJ,14,19
1,JAC,PHI,17,34
1,CLE,PIT,27,30
1,MIN,STL,34,6
1,BUF,CHI,23,20
1,CIN,BAL,23,16
1,NO,ATL,34,37
1,CAR,TB,20,14
1,SF,DAL,28,17
1,IND,DEN,24,31
1,NYG,DET,14,35
1,SD,ARI,17,18
2,PIT,BAL,6,26
2,MIA,BUF,10,29
2,JAC,WAS,10,41
2,DAL,TEN,26,10
2,ARI,NYG,25,14
2,NE,MIN,30,7
2,NO,CLE,24,26
2,ATL,CIN,10,24
2,DET,CAR,7,24
2,STL,TB,19,17
2,SEA,SD,21,30
2,HOU,OAK,30,14
2,NYJ,GB,24,31
2,KC,DEN,17,24
2,CHI,SF,28,20
2,PHI,IND,30,27
3,TB,ATL,14,56
3,SD,BUF,22,10
3,DAL,STL,34,31
3,WAS,PHI,34,37
3,HOU,NYG,17,30
3,MIN,NO,9,20
3,TEN,CIN,7,33
3,BAL,CLE,23,21
3,GB,DET,7,19
3,IND,JAC,44,17
3,OAK,NE,9,16
3,SF,ARI,14,23
3,DEN,SEA,20,26
3,KC,MIA,34,15
3,PIT,CAR,37,19
3,CHI,NYJ,27,19
4,NYG,WAS,45,14
4,GB,CHI,38,17
4,BUF,HOU,17,23
4,TEN,IND,17,41
4,CAR,BAL,10,38
4,DET,NYJ,24,17
4,TB,PIT,27,24
4,MIA,OAK,38,14
4,JAC,SD,14,33
4,PHI,SF,21,26
4,ATL,MIN,28,41
4,NO,DAL,17,38
4,NE,KC,14,41
5,MIN,GB,10,42
5,CHI,CAR,24,31
5,CLE,TEN,29,28
5,STL,PHI,28,34
5,ATL,NYG,20,30
5,TB,NO,31,37
5,HOU,DAL,17,20
5,BUF,DET,17,14
5,BAL,IND,13,20
5,PIT,JAC,17,9
5,ARI,DEN,20,41
5,KC,SF,17,22
5,NYJ,SD,0,31
5,CIN,NE,17,43
5,SEA,WAS,27,17
6,IND,HOU,33,28
6,PIT,CLE,10,31
6,NE,BUF,37,22
6,CAR,CIN,37,37
6,JAC,TEN,14,16
6,GB,MIA,27,24
6,DET,MIN,17,3
6,DEN,NYJ,31,17
6,BAL,TB,48,17
6,SD,OAK,31,28
6,CHI,ATL,27,13
6,DAL,SEA,30,23
6,WAS,ARI,20,30
6,NYG,PHI,0,27
6,SF,STL,31,17
7,NYJ,NE,25,27
7,ATL,BAL,7,29
7,TEN,WAS,17,19
7,SEA,STL,26,28
7,CLE,JAC,6,24
7,CIN,IND,0,27
7,MIN,BUF,16,17
7,MIA,CHI,27,14
7,NO,DET,23,24
7,CAR,GB,17,38
7,KC,SD,23,20
7,ARI,OAK,24,13
7,NYG,DAL,21,31
7,SF,DEN,17,42
7,HOU,PIT,23,30
8,SD,DEN,21,35
8,MIN,TB,19,13
8,BUF,NYJ,43,23
8,CHI,NE,23,51
8,SEA,CAR,13,9
8,MIA,JAC,27,13
8,BAL,CIN,24,27
8,HOU,TEN,30,16
8,STL,KC,7,34
8,PHI,ARI,20,24
8,IND,PIT,34,51
8,OAK,CLE,13,23
8,GB,NO,23,44
8,DET,ATL,22,21
8,WAS,DAL,20,17
