HOU,IND
CLE,PIT
BUF,NE
CIN,CAR
TEN,JAC
MIA,GB
MIN,DET
NYJ,DEN
TB,BAL
OAK,SD
ATL,CHI
SEA,DAL
ARI,WAS
PHI,NYG
STL,SF
