MIN @ GB,CHI @ CAR,CLE @ TEN,STL @ PHI,ATL @ NYG,TB @ NO,HOU @ DAL,BUF @ DET,BAL @ IND,PIT @ JAC,ARI @ DEN,KC @ SF,NYJ @ SD,CIN @ NE,SEA @ WAS,
GB,CHI,CLE,PHI,ATL,NO,DAL,DET,BAL,PIT,ARI,KC,SD,CIN,SEA,
GB,CHI,CLE,PHI,ATL,NO,DAL,DET,IND,PIT,DEN,KC,SD,CIN,SEA,
MIN,CAR,CLE,PHI,NYG,NO,HOU,DET,BAL,PIT,ARI,KC,SD,CIN,SEA,
,CHI,,PHI,,,,DET,BAL,PIT,ARI,,SD,CIN,SEA,
